ISRC,Chartmetric ID,Track Name,Artists,Tags,Genres,Genre IDs,Moods,Activities
INH109631720,20462546.0,Silli Hawa Chhoo Gai,"Lata Mangeshkar, R. D. Burman",playback,playback,505383,"affectionate, carefree, gentle, peaceful, nostalgic",daydreaming
INT201901941,22373415.0,Single Pasanga,"Hiphop Tamizha, Gana Balachanda, Gana Ulagam Dharani, Arivu",tamil,tamil,501811,"WARM, BLUE, ROMANTIC, GLOOMY, PEACEFUL",
INE182570243,147554493.0,Ishq Ki Zaat,"Shahid Mallya, Arjit Srivastava",Others,,,,
INS171200517,13221153.0,Sollitaley Ava Kaadhala,"D. Imman, Ranjith Govind, Shreya Ghoshal",tamil,tamil,501811,"emotional, affectionate, heartwarming, soulful, nostalgic","sleep, sleeping"
INT202303478,100231625.0,"Jil Jil Jil - From ""Sulaikha Manzil""","Vishnu Vijay, Varsha Renjith, Meera Prakash",malayalam,malayalam,501619,"chill, happy, hype, free, emotional, energetic",driving
QZFYY2474873,115866196.0,Jind Kadh Ke,"IGMOR, Kuldeep Manak",punjabi,punjabi,501717,"ROMANTIC, DARK, SOPHISTICATED, SEXY, BLUE",
INS180241113,18905784.0,Meri Yaad,Adnan Sami,bollywood,bollywood,501219,"ROMANTIC, SEDUCTIVE, PEACEFUL, REFLECTIVE, OPTIMISTIC",
INS180131142,31392178.0,Suru Ru,Sonu Nigam,"bollywood, indian pop","bollywood, indian pop","501219, 501220",ROMANTIC,
INH100120860,13213227.0,,S. Janaki,,,,,
INS4L2000053,61456850.0,Ja Ae Badra,Pawan Singh,Others,,,,
INT502112268,69010957.0,Film Chandrawal Dekhungi,"Dev Kumar Deva, Ruchika Jangid",haryanvi,haryanvi,501514,,
INS180808615,17284305.0,Golmaal,"Anushka Manchanda, Vishal Dadlani",indian pop,indian pop,501220,"celebratory, festive, fun, catchy, entertaining, energetic",partying
IND292205885,92204629.0,Manjal Veyil,"Harris Jayaraj, Hariharan, Vijay, Nakkhul",tamil,tamil,501811,"bittersweet, nurturing, reflective","sleep, coffee, morning, sleeping, study"
INA091213589,13211136.0,,"Jaspreet Jasz, Sunitha",,,,,
INH109241390,13215928.0,Tere Ghar Ke Samne,"Lata Mangeshkar, Mohammed Rafi, S. D. Burman",playback,playback,505383,"affectionate, nostalgic, cheerful, lighthearted","exploring, revolution"
IN-M40-11-00689,,,,,,,,
INS180908351,30967476.0,Mitar Pyare Nu,Ishmeet Singh,"punjabi, indian hip-hop/rap","indian hip-hop/rap, punjabi","501221, 501717",BLUE,
FRX282129647,70964763.0,Sweet Lullaby,Baby Lullaby,new age,new age,501194,,
INS189911181,39552995.0,Piya Lagi Lagan,"Anuradha Paudwal, Jaspinder Narula",bollywood,bollywood,501219,ROMANTIC,
INS181300029,16761147.0,Mujh Mein Tu,Keerthi Sagathia,bollywood,bollywood,501219,"ROMANTIC, LONELY, DEPRESSED, DARK, GLOOMY",
INT131710730,28509787.0,"Ruku Ruku Rukama (From ""Namma Basava"")",Puneeth Rajkumar,kannadan,kannadan,501575,ROMANTIC,
IND291818987,25039282.0,Polladha Boomi,"G. V. Prakash, Dhanush",tamil,tamil,501811,DEPRESSED,
INT202102604,32876747.0,"Kandaa Vara Sollunga - From ""Karnan""","Santhosh Narayanan, Kidakuzhi Mariyammal",tamil,tamil,501811,"chill, free, motivational, powerful","workout, running, traveling"
INY099700008,17297357.0,Ek Duje Ke Vaaste,"Uttam Singh, Lata Mangeshkar, Hariharan, Anand Bakshi",bollywood,bollywood,501219,"affectionate, yearning, melancholic, intimate, nostalgic","driving, workout"
INS172200432,73422551.0,Ek Tu Hi Toh Hai,Stebin Ben,bollywood,bollywood,501219,"ROMANTIC, HEARTBROKEN, PEACEFUL",
USRC12403763,143173452.0,Born Again (feat. Doja Cat & RAYE),"LISA, Doja Cat, RAYE","pop, alternative, k-pop, dance, electronic, r&b/soul","pop, electronic, r&b/soul, alternative, dance, k-pop","501120, 501124, 501125, 501132, 501146, 501158","celebratory, energizing, entertaining, empowering, euphoric, fun, upbeat, cathartic","dancy, partying, urban"
QMDA62441943,138394594.0,KURTA,"JASKARAN, dox",punjabi,punjabi,501717,,
INV792402855,123172823.0,Krishnaya Vasudevaya-Krishna Shloka,"Amrita Chaturvedi, Upadhyay",christian,christian,501195,,
INA091715579,17735057.0,Laali Laali - Tamil,"Ghibran, Sathyaprakash, Pragathi Guruprasad, Rakul Preet Singh",tamil,tamil,501811,"energetic, entertaining, upbeat, celebratory, empowering, lively","sleep, sleeping, coffee, driving, roadtrip"
INM401902136,28783060.0,Kushiyagide,Kunal Ganjawala,kannadan,kannadan,501575,"ROMANTIC, PEACEFUL, MELANCHOLIC, INTENSE, WARM",
USRN10100101,15709463.0,Jingle Bells,Jim Reeves,"holiday, pop, rock, country","pop, rock, country, holiday","501120, 501122, 501131, 501141","celebratory, cheerful, childlike, family",vacation
INT102305932,113972391.0,"SuperHero HanuMan (From ""HanuMan"") [Hindi]","Anudeep Dev, Sai Veda Vagdevi, Prakruthi Reddy, Kumaar","indian ambient, indian devotional & spiritual, indian hip-hop/rap","indian hip-hop/rap, indian devotional & spiritual, indian ambient","501221, 503778, 503782",chill,noise
INY242417985,,,,,,,,
USQX92003025,30361159.0,Mood (feat. iann dior),"24kGoldn, iann dior","electropop, hip-hop/rap, pop, trap, electro house, tropical house, house, soulful house","pop, hip-hop/rap, trap, house, electropop, electro house, soulful house, tropical house","501120, 501121, 501164, 501175, 501872, 507626, 507816, 507852","moody, bitter, frustrated, relaxed, soothing","summer, gaming, workout, driving, beach"
IND292100338,32917427.0,Nenapina Hudugiye (From &quot;Hero&quot;),"B. Ajaneesh Loknath, Vijay Prakash",kannadan,kannadan,501575,"emotional, cinematic, anthemic, inspirational",yoga
INA442500017,146514540.0,"Hanuman Chalisa (From ""Choo Mantar"")",Keerthan Holla,indian,indian,501540,,
INH109531320,13216497.0,,"Manna Dey, Kalyanji-Anandji",,,,,
INL239022970,98940556.0,Daradiya,Khesari Lal Yadav,bhojpuri,bhojpuri,501310,,
IN-V11-00-01203,,,,,,,,
INF040700856,18260695.0,"Mambazhamam Mambazham (From ""Pokkiri"")","Shankar Mahadevan, Ganga",tamil,tamil,501811,"BLUE, ROMANTIC, RELAXED, LONELY",
FRX872365567,119097029.0,Shri Ram Janki Baithe Hai Mere Seene Me,Girik Aman,"devotional & spiritual, indian","devotional & spiritual, indian","501129, 501540",,
DGA092474973,134709837.0,Jee Loon Main Tujhko,Arijit Singh,"bollywood, dance, electronic, indian, indie","electronic, dance, bollywood, indian, indie","501124, 501146, 501219, 501540, 501541","healing, smooth, moody","sleep, soft, sleeping"
INA091112821,13210950.0,Vayyarala,"Karunya, Pawan Kalyan, Trisha",telugu,telugu,501819,"celebratory, entertaining, upbeat, fun, festive","noise, sleep, sleeping, beach, coffee, guitar"
QZK6L2302856,102570011.0,,"We Are One, Sukki, Dc",,,,,
DGA0L2474157,137928530.0,Rayfal Ke Nok Pa,Saurav U,bhojpuri,bhojpuri,501310,,
INH100212750,30376539.0,Thamnnam Thamnam,"P. B. Sreenivas, S. Janaki",kannadan,kannadan,501575,ROMANTIC,
IND311500059,94960273.0,,"Yash, Manju Mandavya",,,,,
INS171602908,17455998.0,Aaj Jane Ki Zid Na Karo,"Sohail Rana, Shilpa Rao","bollywood, south asian classical, pakistani fusion, indian fusion","bollywood, south asian classical, indian fusion, pakistani fusion","501219, 503287, 507684, 507755","affectionate, abstract, heartwarming, brooding, longing",
INH102502185,147123641.0,"Jodi No.1 (From ""Udumbanchola Vision"")","Gopi Sundar, Dabzee, Vinayak Sasikumar",Others,,,,
INUM70500311,13225548.0,Kabhi Sham Dhale - Sur (The Melody Of Life) / Soundtrack Version,Mahalakshmi Iyer,bollywood,bollywood,501219,"ROMANTIC, PEACEFUL, RELAXED, LONELY, DARK",
INUM72500493,147099295.0,Pattiyan,HUSTINDER,punjabi,punjabi,501717,ROMANTIC,
INH109869440,35831639.0,Love Me Or Hate Me,Rajkumar,kannadan,kannadan,501575,ROMANTIC,
INE182211781,75373397.0,Aaplich Hawa,"Prashant Nakti, Adarsh Shinde, Sonali Sonawane",marathi,marathi,501624,"ROMANTIC, DARK",
INS182202748,87923003.0,,"Tulsi Kumar, Jubin Nautiyal",,,,,
DGA062218670,95663208.0,Dad Daroga,"Jaskaran Grewal, Deepak Dhillon, Parmish Verma","haryanvi, punjabi","haryanvi, punjabi","501514, 501717",dark,noise
FR2X42096664,29325448.0,Botal Free,"Jordan Sandhu, Samreen Kaur","punjabi, indian hip-hop/rap","indian hip-hop/rap, punjabi","501221, 501717","free, affectionate, energetic, entertaining, upbeat, motivational, unifying",
INW262100008,56933424.0,Ek Tarfa 2.0,Darshan Raval,bollywood,bollywood,501219,"REFLECTIVE, DEPRESSED, ROMANTIC, BLUE, LONELY",
FRX762339575,102569550.0,Bonjour,Dhanda Nyoliwala,haryanvi,haryanvi,501514,"youthful, energetic, exciting",urban
INE182326504,119912752.0,Chaudhavi Shab,"Sanjay Leela Bhansali, Shreya Ghoshal, A M Turaz","bollywood, south asian classical, pakistani fusion, indian fusion","bollywood, south asian classical, indian fusion, pakistani fusion","501219, 503287, 507684, 507755","INTENSE, PEACEFUL, ROMANTIC, GRIEF, WARM",
DGA0Q2484899,139482413.0,Baba Dhore Hathiyaar,"Masoom Sharma, Manisha Sharma",haryanvi,haryanvi,501514,,
INT131200866,38095734.0,Shani Chalisa,Shankar Mahadevan,"devotional & spiritual, indian","devotional & spiritual, indian","501129, 501540",,meditation
INH109435070,13216270.0,Dheere Dheere Chal Chand,"Lata Mangeshkar, Mohammed Rafi",playback,playback,505383,"happy, haunting, heavy, cheerful",
INS180351136,28177792.0,Man Basia,Alka Yagnik,"indian ambient, indian devotional & spiritual, bhajan","bhajan, indian devotional & spiritual, indian ambient","501308, 503778, 503782","PEACEFUL, RELAXED, ROMANTIC",
USUM70965169,15913904.0,I Gotta Feeling,Black Eyed Peas,"electropop, pop, electro house, dance, soft pop, hip-hop/rap, house, rock, tropical house, alternative rock, electronic, soulful house, modern rock, alternative, classic rock","pop, hip-hop/rap, rock, electronic, alternative, dance, alternative rock, classic rock, house, electropop, electro house, modern rock, soft pop, soulful house, tropical house","501120, 501121, 501122, 501124, 501132, 501146, 501167, 501172, 501175, 501872, 507626, 507735, 507814, 507816, 507852","energetic, entertaining, celebratory, upbeat, adrenaline, fun, emotional",partying
INA091314008,13211243.0,Neelakashamlo,"Shreya Ghoshal, Nisha Agarwa, Bhavana",telugu,telugu,501819,"happy, nostalgic, peaceful","sleep, beach, coffee, driving, focus"
INZ031414093,114972229.0,"Ishq Nachaawe - From ""Kho Gaye Hum Kahan""","Karan Kanchan, Rashmeet Kaur, Yashraj","pakistani fusion, indian fusion, south asian classical, bollywood, new romantic","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755","affectionate, intimate, longing, yearning, dramatic","noise, soft, driving, coffee, sleep"
USUM70618138,15904525.0,Say It Right - Radio Edit,Nelly Furtado,"electropop, pop, electronic, soft pop, rock, dance, hip-hop/rap, alternative rock, electro house","pop, hip-hop/rap, rock, electronic, dance, alternative rock, electropop, electro house, soft pop","501120, 501121, 501122, 501124, 501146, 501167, 501872, 507626, 507814","emotional, reflective, cathartic, contemplative, intimate, heartwarming, sentimental","background, driving"
INT131200780,48188425.0,Jai Bajrangi,"Suresh Wadkar Sanjeev Kumar, Nikhil","devotional & spiritual, indian","devotional & spiritual, indian","501129, 501540",,
INM401700414,17312272.0,Anumanave Illa,Armaan Malik,kannadan,kannadan,501575,"nostalgic, peaceful, dynamic, free","focus, traveling"
ING642301155,100368613.0,Gaddi Nuye Chalegi,"R Maan, Komal Chaudhary",haryanvi,haryanvi,501514,"LONELY, DARK",workout
INA090209529,13210009.0,Oka Konte Pillane,"Karthik, Hariharan, Anuradha Sriram, Jr. NTR, Sadha",telugu,telugu,501819,,
INS181701936,16996007.0,Maine Tujhko Dekha,"Neeraj Shridhar, Sukriti Kakar, Amaal Mallik, Ajay Devgan, Arshad Warsi, Tusshar Kapoor, Shreyas Talpade, Parineeti Chopra, Tabu, Johnny Lever","indian pop, indian fusion, south asian classical","indian pop, south asian classical, indian fusion","501220, 503287, 507684","happy, fun, chill, nostalgic, raw","workout, wind"
INC622301131,104477320.0,Worldwide,Arjan Dhillon,"punjabi, punjabi trap","punjabi, punjabi trap","501717, 507791","chill, powerful, upbeat, vibrant","workout, revolution, soft, urban"
FRX202553546,146822667.0,Drivery Anthem,"GKhan, Jasmeen Akhtar, SABBA",punjabi,punjabi,501717,ROMANTIC,
INS171500894,13221911.0,Bagulu Odayum Dagulu Mari - The Return of Maari,"Anirudh Ravichander, Dhanush",tamil,tamil,501811,"motivational, hype, chill, cinematic","workout, background, morning, driving"
FRX201909533,26838049.0,Kathlalli Karadige,V. Hari Krishna,kannadan,kannadan,501575,"ROMANTIC, LONELY, PEACEFUL",
INU252102410,42000545.0,Power,Sidhu Moose Wala,"punjabi, indian hip-hop/rap, punjabi trap","indian hip-hop/rap, punjabi, punjabi trap","501221, 501717, 507791","assertive, empowering, protesting, aggressive, bold",revolution
INT202505482,144700289.0,,"Sarath Santosh, Reshma Shyam, G. V. Prakash, Rajesh Gopishetty",,,,,
INS170900206,13220458.0,Naa Peru Meenakumari,Devi Sri Prasad,telugu,telugu,501819,"happy, hype, chill, comforting, serious, sexy","beach, bonding, coffee"
INH101202515,71806963.0,Aala Re Aala,"Abhas, Shreyas","devotional & spiritual, indian","devotional & spiritual, indian","501129, 501540",,
INH100408680,30746967.0,"Oh Bangaru Rangulachilaka, Pt. 1","P. Susheela, S. P. Balasubrahmanyam",telugu,telugu,501819,ROMANTIC,
INT109200059,13223806.0,Bhangda Paale,"Sudesh Bhosle, Mohammed Aziz, Sadhana Sargam",bollywood,bollywood,501219,"celebratory, cheerful, energetic, exciting, fun, upbeat, nostalgic",dancy
USSM11912587,27222889.0,Watermelon Sugar,Harry Styles,"electropop, pop, soft pop, tropical house, electro house, alternative rock, house, indie pop, modern rock, soulful house","pop, indie pop, alternative rock, house, electropop, electro house, modern rock, soft pop, soulful house, tropical house","501120, 501160, 501167, 501175, 501872, 507626, 507735, 507814, 507816, 507852","affectionate, entertaining, playful, sensual","daydreaming, self-love"
FR96X2131470,41622939.0,Machayenge 3,Emiway Bantai,"desi hip-hop, indian hip-hop/rap","indian hip-hop/rap, desi hip-hop","501221, 501436","DARK, JEALOUS, DEPRESSED",
INSD11903910,108052743.0,Never Mine,"Harnoor, J-Statik, Ilam",punjabi,punjabi,501717,"SERIOUS, DEPRESSED, ROMANTIC, DARK, HEARTBROKEN",
INM129500346,13218080.0,Lover Girl,Alisha Chinai,"bollywood, indian pop","bollywood, indian pop","501219, 501220",,
QMDA61503661,29913308.0,Phala Phala Holeyuva,K. S. Chithra,kannadan,kannadan,501575,,
INR1F2021024,74567083.0,Vishwakarma Aarti,Poonam Vishwakarma,Others,,,,
QMDA61503271,40442201.0,,S. P. Balasubrahmanyam,,,,,
INH102200849,73424598.0,Dream Mein Entry - Bhojpuri,"Khesari Lal Yadav, Akshara Singh, Gourov Dasgupta",bhojpuri,bhojpuri,501310,,
INM5B2310080,109973685.0,"Its My Time Rap (From ""BRO"")","Saicharan Bhaskaruni, MC Hari",telugu,telugu,501819,,
INH109940010,13217062.0,Janeman Janeman,"Asha Bhosle, Chorus",bollywood,bollywood,501219,"happy, heartwarming, glamorous, playful, euphoric, vibrant",background
INSD11913396,95788798.0,Geet Banuga,Kaka,punjabi,punjabi,501717,"RELAXED, WARM, ROMANTIC",
ING642424373,140155595.0,Aankhya Mai,"Sapna Choudhary, Shiva Choudhary",Others,,,ROMANTIC,
INA441400117,17293809.0,Maamu Maamu,"Vijay Prakash, Priya Hemesh",kannadan,kannadan,501575,"affectionate, celebratory, connecting, catchy, entertaining, fun",
INY092200129,97924251.0,Jim’s Theme,"Sanchit Balhara, Ankit Balhara, Maanya Narang, Riya Duggal","indian pop, tamil, pop, soundtrack","pop, soundtrack, indian pop, tamil","501120, 501139, 501220, 501811",BLUE,
INT102501240,147950320.0,"Duniya (From ""Pind Peya Saara Jombieland Baneya"")","B Praak, Avvy Sra, Khara",Others,,,ROMANTIC,
INH100800190,13215276.0,Yeh Kahan Aa Gaye Hum,"Lata Mangeshkar, Amitabh Bachchan",Others,,,ROMANTIC,
GB28K1100179,12366703.0,Titanium (feat. Sia) [Extended],"David Guetta, Sia","electropop, dance, electro house, electronic, pop, house, tropical house, soulful house","pop, electronic, dance, house, electropop, electro house, soulful house, tropical house","501120, 501124, 501146, 501175, 501872, 507626, 507816, 507852","SEXY, SERIOUS, LONELY, PSYCHEDELIC",
INA090931705,13210783.0,Rama Chakkanodamma,"Sukhwinder Singh, Chitra",telugu,telugu,501819,,
INA092419512,132872738.0,"Kya Lafda (From ""Double ISMART"")(Telugu)","Dhanunjay Seepana, Sindhuja Srinivasan, Mani Sharma, Sri Harsha Emani",telugu,telugu,501819,energetic,
FRX762112982,60789915.0,Malupu,Manish Kumar,telugu,telugu,501819,"SERIOUS, PEACEFUL, HEARTBROKEN, INTENSE, MELANCHOLIC",
FRX282513316,147695908.0,Love Struck,"Davy, Gur Sidhu",Others,,,,
INH100372920,29333956.0,Gham Ka Khazana Tera Bhi Hai Mera Bhi,"Jagjit Singh, Lata Mangeshkar",playback,playback,505383,"sorrowful, emotional, meditative, serene","coffee, sleeping"
INA090610571,19471159.0,,"S.A. Rajkumar, Shreya Ghoshal, Rajesh Krishnan, AarthiAgarwal",,,,,
INA090104092,30809927.0,Emauthundhi,"S.P.Balasubrahmanyam, S.Janaki","telugu, dance, electronic","electronic, dance, telugu","501124, 501146, 501819",,
INS181800303,18585783.0,Naam Hai Mera,Neeti Mohan,"indian pop, bollywood","bollywood, indian pop","501219, 501220","ROMANTIC, SEXY",
DGA0T2423237,141790648.0,Nakhawa,Preet Bandre,bollywood,bollywood,501219,,
INS189710300,31826353.0,Brahma Kadidina Padamu,"Annamayya Keerthana, Poorna Chadar, Sri Ram, K. S. Chithra, Anuradha Paudwal, Sujatha, Radhika","indian ambient, indian devotional & spiritual","indian devotional & spiritual, indian ambient","503778, 503782",,
INM258909795,84551959.0,Pallitherundo,Venugopal,malayalam,malayalam,501619,ROMANTIC,
TCAJN2521240,147058520.0,Shake It to the Max,Zizzy Litty,azerbaijani hip-hop/rap,azerbaijani hip-hop/rap,505381,,
INS172101459,33760671.0,,"Santhosh Dhayanidhi, Rakshita Suresh",,,,,
INH102404608,117114208.0,"Hara Hara Shambo (From ""Bhimaa"")","Ravi Basrur, Vijay Prakash, Kalyan Chakravarthy","indian ambient, indian devotional & spiritual","indian devotional & spiritual, indian ambient","503778, 503782",,
USRC12403693,144985678.0,Cry For You,Isabel LaRosa,"pop, alternative","pop, alternative","501120, 501132","energetic, empowering","dancy, late-night, partying"
USA2P2513866,145673644.0,Tu Chaand Hai,"Akhil Sachdeva, Anmol Daniel",bollywood,bollywood,501219,happy,
INS180902829,17286881.0,Pehli Baar Mohabbat,"Mohit Chauhan, Shahid Kapoor, Priyanka Chopra","bollywood, south asian classical, pakistani fusion, indian fusion, sufi rock, indie soul","bollywood, south asian classical, indian fusion, indie soul, pakistani fusion, sufi rock","501219, 503287, 507684, 507687, 507755, 507824","chill, soothing, nostalgic, happy","sleep, soft"
INL232406141,140675732.0,Shamat,"Gulab Sidhu, Kavvy Riyaaz, Shevv",punjabi,punjabi,501717,"ROMANTIC, DARK",
FR96X2571584,147303437.0,Jisko Jo Bhi Milta Hai,Raj Meena,bollywood,bollywood,501219,ROMANTIC,
ING642420649,137888572.0,Chhaila,"Salim–Sulaiman, Shreya Ghoshal, Sunidhi Chauhan","bollywood, indian pop","bollywood, indian pop","501219, 501220","connecting, anthemic, energetic, fun, uplifting",dancy
QMBZ91561815,27054784.0,Baninda Jaridantha,Udit Narayan,kannadan,kannadan,501575,ROMANTIC,
INA441900070,25270500.0,Shaane Top Agavle,"Vijay Prakash, Chethan Kumar",kannadan,kannadan,501575,"emotional, dynamic, fun, lonely, peaceful",driving
QM4TW2479236,116638230.0,Top Class / Overseas,"DIVINE, Karan Aujla","punjabi, punjabi trap, desi trap","punjabi, desi trap, punjabi trap","501717, 507616, 507791","adrenaline, aggressive, assertive, chaotic, defiant, empowering",urban
UKP3G2303601,139166250.0,Twinkle Twinkle Little Star (Radio Edit),CoComelon,children's music,children's music,501145,,
INGC12303461,115648395.0,Z Black (Lofi),MD KD,"haryanvi, indian hip-hop/rap","indian hip-hop/rap, haryanvi","501221, 501514",,
IN-V11-93-00152,,,,,,,,
INS172102162,52219525.0,Dil Ibaadat - Lofi Flip,Deepanshu Ruhela,bollywood,bollywood,501219,"PEACEFUL, DARK, ROMANTIC, DEPRESSED, RELAXED",
DGA0R2446981,139191132.0,Never Ever,Arjan Dhillon,punjabi,punjabi,501717,"energetic, intense, vibrant","partying, driving, urban"
INA091615180,13211474.0,Taanu Nenu,"Vijay Prakash, Naga Chaitanya, ManjimaMohan",telugu,telugu,501819,"PEACEFUL, ROMANTIC, RELAXED, WARM",
INS320300904,30737636.0,Nadodipoothinkal,"Vidyasagar, M. G. Sreekumar, Sujatha",malayalam,malayalam,501619,"ROMANTIC, RELAXED, PEACEFUL",
AUGBT2448913,137220781.0,,Rahi Khan,,,,,
INA092519963,147805548.0,"Andala Sandohama (From ""Anaganaga"")","Chandrasekar, Ravi Cherukuri, Karunya, Asha Kiran, Pavani Vasa, Lakshmi Meghana, Chandu","soundtrack, indian","soundtrack, indian","501139, 501540",,
TCACZ1758307,17006302.0,Little Snowflake,Super Simple Songs,children's music,children's music,501145,"carefree, childlike, entertaining, family, fun, playful","sleep, sleeping, soft, wind, summer, yoga"
INA192500003,147282839.0,Premer Rong,"Nakash Aziz, Shrestha D.",bangla,bangla,501299,ROMANTIC,
INY092500012,148146238.0,War 2 Teaser - Telugu Version,Sanchit Balhara,"soundtrack, bollywood, indian","soundtrack, bollywood, indian","501139, 501219, 501540",,
FRX282563397,147908774.0,Tribute To Sidhu Moosewala,"Emiway Bantai, Sidhu Moose Wala",hip-hop/rap,hip-hop/rap,501121,,
QM7282055478,31137285.0,Rajasthani Ghagra,"Pawan Singh, Priyanka Singh",bhojpuri,bhojpuri,501310,ROMANTIC,
INSD11935775,116035313.0,SEE MY HYPE,"Roop Bhullar, Wazir Patar","punjabi, punjabi trap","punjabi, punjabi trap","501717, 507791","PSYCHEDELIC, SEXY, REFINED, DARK, ARROGANT",
ING642425065,141451682.0,Mar Jaib Ta,Pramod Premi Yadav,bhojpuri,bhojpuri,501310,,
INS189610115,35808097.0,Maayadari Maayadari Andamaa,"S. P. Balasubrahmanyam, K. S. Chithra",telugu,telugu,501819,ROMANTIC,
ING642308060,113170144.0,Saiyan Bhailu,"Neelkamal Singh, Anupama Yadav",bhojpuri,bhojpuri,501310,ROMANTIC,
INS180131147,46421471.0,Teri Bindiya,"Abhijeet, Sunidhi Chauhan",bollywood,bollywood,501219,ROMANTIC,
USUM70734410,15905900.0,Somebody's Me,Enrique Iglesias,"pop, soft pop, rock","pop, rock, soft pop","501120, 501122, 507814","affectionate, moving, tender","soft, sleep, acoustic, coffee, summer"
INH102404019,116877488.0,"Ishq Mitaye (From ""Amar Singh Chamkila"")","Mohit Chauhan, A.R. Rahman","pakistani fusion, indian fusion, bollywood, south asian classical, punjabi trap, new romantic, punjabi","bollywood, punjabi, south asian classical, indian fusion, new romantic, pakistani fusion, punjabi trap","501219, 501717, 503287, 507684, 507743, 507755, 507791","chill, hopeful, longing, soulful, tranquil, upbeat",
INS180907813,25208063.0,Vaada Tumse Hain Vaada,Pandit Jasraj,bollywood,bollywood,501219,ROMANTIC,
INA090930765,17466689.0,Bangaram Thechi,"Parthasarathy, Chitra, K. S. Chithra",telugu,telugu,501819,,
INM6G2101130,38344808.0,O Priyathama,"Rajkumar, Vani Jairam",kannadan,kannadan,501575,ROMANTIC,
INW262200207,98937528.0,"Sajna, Say Yes To The Dress","Badshah, Payal Dev","pakistani fusion, indian fusion, indian pop, punjabi, south asian classical, bollywood","bollywood, indian pop, punjabi, south asian classical, indian fusion, pakistani fusion","501219, 501220, 501717, 503287, 507684, 507755","energetic, fun, celebratory",urban
INZ031402326,16627051.0,Baby Marvake Maanegi,Raftaar,"indian fusion, indian pop, pakistani fusion, desi trap","indian pop, desi trap, indian fusion, pakistani fusion","501220, 507616, 507684, 507755","DARK, SOPHISTICATED, ROMANTIC, SEXY, BLUE",
ING642304561,104143835.0,Chal Chal,"Pawan Singh, Shivani Singh",bhojpuri,bhojpuri,501310,ROMANTIC,
INA092319204,117965096.0,Motha,"Yuvan Shankar Raja, M.M.Manasi, Chandra Bose","tamil, telugu","tamil, telugu","501811, 501819",,
INA1I2202507,78657347.0,Solid Body,"Ajay Hooda, Raju Punjabi",haryanvi,haryanvi,501514,ROMANTIC,
INN139900578,13219405.0,Sotta Sotta,Srinivas,tamil,tamil,501811,"ROMANTIC, WARM, LONELY, BLUE, DARK",
INE182565942,142242198.0,Swami,"Brahmaa, Avadhoot Gandhi",marathi,marathi,501624,,
INE182569608,,,,,,,,
INA092519947,147074603.0,"Janu Meri Janu (From ""Paanch Minar"")","Shekar Chandra, Vinayak, Sri Harsha Emani","soundtrack, indian","soundtrack, indian","501139, 501540",,
INS181500716,16492055.0,Pehli Baar,"Sukriti Kakar, Siddharth Mahadevan","indian fusion, pakistani fusion, south asian classical, bollywood, indian pop","bollywood, indian pop, south asian classical, indian fusion, pakistani fusion","501219, 501220, 503287, 507684, 507755","ROMANTIC, WARM, BLUE, SEXY, JOYFUL",
INM7Q2200076,85598281.0,Rutho Jo Tum (Tum Prem Ho),"Mohit Lalwani, Bharat Kamal","indian ambient, indian devotional & spiritual, bhajan","bhajan, indian devotional & spiritual, indian ambient","501308, 503778, 503782","contemplative, heartwarming, dreamy, melancholic, affectionate","lofi, soft, mornings, yoga"
INH109246090,13216013.0,Main Shair Badnaam,"Kishore Kumar, R. D. Burman",playback,playback,505383,"dynamic, chill, family, nostalgic",
INS280600745,30631807.0,Vuroram puliamaram,"Pandi, Kala, Saroja, Lakshmi",tamil,tamil,501811,"JOYFUL, ROMANTIC",
IND292212184,114472461.0,"Kantara Chapter-1 Theme (From ""Kantara A Legend Chapter-1 - Kannada"")",B. Ajaneesh Loknath,tamil,tamil,501811,"dramatic, haunting, bittersweet, melancholic",background
INA090209146,35932016.0,Patala Pallakivai-Femlae,K. S. Chithra,telugu,telugu,501819,,
INH109444280,21802436.0,O Sheronwali,"Mohammed Rafi, Asha Bhosle","indian ambient, indian devotional & spiritual","indian devotional & spiritual, indian ambient","503778, 503782",,
INA090811935,13210512.0,O Manmadhuda,"Sagar, Divya, Nagarjuna, Trisha",telugu,telugu,501819,"fun, chill, free, happy, nostalgic, sweet","beach, coffee, driving"
INS100200246,13219887.0,Aika Dajiba,Vaishali Samant,marathi,marathi,501624,"catchy, fun, upbeat",dancy
INSD11935262,123478360.0,Beautifull Jaatni,Ruchika Jangid,Others,,,,
INS189110025,32609787.0,Mohabbat Ki Hai Tumhare Liye,"Anuradha Paudwal, Kumar Sanu",bollywood,bollywood,501219,"affectionate, heartwarming, passionate, healing",
INV111100408,13226119.0,Hare Rama Hare Rama Rama Rama Hare Hare,Jagjit Singh,"indian ambient, indian devotional & spiritual, bhajan","bhajan, indian devotional & spiritual, indian ambient","501308, 503778, 503782",PEACEFUL,
INS182202821,89003363.0,Barsaat Ho Jaaye,"Jubin Nautiyal, Payal Dev, Rashmi Virag",bollywood,bollywood,501219,"ROMANTIC, LONELY",
INA1I2505586,146283493.0,Tod Fod,Masoom Sharma,Others,,,,
TCADF1757138,16430666.0,,Vidya Vox,,,,,
